시간,데이터유형,옵션코드,옵션체결시간,옵션현재가,옵션거래량,옵션이론가,옵션IV,옵션델타,옵션감마,옵션세타,옵션베가,옵션로,옵션미결제약정,옵션매도호가1,옵션매도잔량1,옵션매도호가2,옵션매도잔량2,옵션매도호가3,옵션매도잔량3,옵션매도호가4,옵션매도잔량4,옵션매도호가5,옵션매도잔량5,옵션매수호가1,옵션매수잔량1,옵션매수호가2,옵션매수잔량2,옵션매수호가3,옵션매수잔량3,옵션매수호가4,옵션매수잔량4,옵션매수호가5,옵션매수잔량5,옵션총매도잔량,옵션총매수잔량,지수코드,지수체결시간,지수현재가,지수전일대비,지수등락률,지수거래량,지수시가,1초체결량,체결방향,매수주도체결량,매도주도체결량
2026-03-23 12:39:05,스냅샷,B0164815,,,,31.69,50.4329,0.4777,0.7180,0.9522,0.1860,,267,,,,,,,,,,,,,,,,,,,,,,,201,123905,812.08,50.42,5.85,3,829.96,0,NONE,0,0
2026-03-23 12:39:06,스냅샷,B0164815,,,,31.69,50.4281,0.4777,0.7180,0.9522,0.1859,,267,,,,,,,,,,,,,,,,,,,,,,,201,123906,812.07,50.43,5.85,1,829.96,0,NONE,0,0
2026-03-23 12:39:07,스냅샷,B0164815,,,,31.60,50.3421,0.4779,0.7179,0.9520,0.1856,,267,,,,,,,,,,,,,,,,,,,,,,,201,123907,811.89,50.61,5.87,3,829.96,0,NONE,0,0
2026-03-23 12:39:08,스냅샷,B0164815,,,,31.61,50.3517,0.4778,0.7179,0.9520,0.1856,,267,,,,,,,,,,,,,,,,,,,,,,,201,123908,811.91,50.59,5.87,4,829.96,0,NONE,0,0
2026-03-23 12:39:09,스냅샷,B0164815,,,,31.59,50.3373,0.4779,0.7179,0.9520,0.1856,,267,,,,,,,,,,,,,,,,,,,,,,,201,123909,811.88,50.62,5.87,2,829.96,0,NONE,0,0
2026-03-23 12:39:10,스냅샷,B0164815,,,,31.65,50.3899,0.4778,0.7180,0.9521,0.1858,,267,,,,,,,,,,,,,,,,,,,,,,,201,123910,811.99,50.51,5.86,2,829.96,0,NONE,0,0
2026-03-23 12:39:11,스냅샷,B0164815,,,,31.55,50.2943,0.4779,0.7178,0.9519,0.1854,,267,,,,,,,,,,,,,,,,,,,,,,,201,123911,811.79,50.71,5.88,1,829.96,0,NONE,0,0
2026-03-23 12:39:12,스냅샷,B0164815,,,,31.47,50.2226,0.4780,0.7177,0.9517,0.1851,,267,,,,,,,,,,,,,,,,,,,,,,,201,123912,811.64,50.86,5.90,6,829.96,0,NONE,0,0
2026-03-23 12:39:13,스냅샷,B0164815,,,,31.62,50.3660,0.4778,0.7179,0.9521,0.1857,,267,,,,,,,,,,,,,,,,,,,,,,,201,123913,811.94,50.56,5.86,5,829.96,0,NONE,0,0
2026-03-23 12:39:14,스냅샷,B0164815,,,,31.58,50.3230,0.4779,0.7179,0.9519,0.1855,,267,,,,,,,,,,,,,,,,,,,,,,,201,123914,811.85,50.65,5.87,1,829.96,0,NONE,0,0
2026-03-23 12:39:15,스냅샷,B0164815,,,,31.56,50.3087,0.4779,0.7178,0.9519,0.1855,,267,,,,,,,,,,,,,,,,,,,,,,,201,123915,811.82,50.68,5.88,2,829.96,0,NONE,0,0
2026-03-23 12:39:16,스냅샷,B0164815,,,,31.51,50.2561,0.4780,0.7177,0.9518,0.1853,,267,,,,,,,,,,,,,,,,,,,,,,,201,123916,811.71,50.79,5.89,3,829.96,0,NONE,0,0
2026-03-23 12:39:17,스냅샷,B0164815,,,,31.55,50.2991,0.4779,0.7178,0.9519,0.1854,,267,,,,,,,,,,,,,,,,,,,,,,,201,123917,811.80,50.70,5.88,4,829.96,0,NONE,0,0
2026-03-23 12:39:18,스냅샷,B0164815,,,,31.62,50.3660,0.4778,0.7179,0.9521,0.1857,,267,,,,,,,,,,,,,,,,,,,,,,,201,123918,811.94,50.56,5.86,11,829.96,0,NONE,0,0
2026-03-23 12:39:19,스냅샷,B0164815,,,,31.57,50.3182,0.4779,0.7179,0.9519,0.1855,,267,,,,,,,,,,,,,,,,,,,,,,,201,123919,811.84,50.66,5.87,3,829.96,0,NONE,0,0
2026-03-23 12:39:20,스냅샷,B0164815,,,,31.56,50.3087,0.4779,0.7178,0.9519,0.1855,,267,,,,,,,,,,,,,,,,,,,,,,,201,123920,811.82,50.68,5.88,3,829.96,0,NONE,0,0
