시간,데이터유형,옵션코드,옵션체결시간,옵션현재가,옵션거래량,옵션이론가,옵션IV,옵션델타,옵션감마,옵션세타,옵션베가,옵션로,옵션미결제약정,옵션매도호가1,옵션매도잔량1,옵션매도호가2,옵션매도잔량2,옵션매도호가3,옵션매도잔량3,옵션매도호가4,옵션매도잔량4,옵션매도호가5,옵션매도잔량5,옵션매수호가1,옵션매수잔량1,옵션매수호가2,옵션매수잔량2,옵션매수호가3,옵션매수잔량3,옵션매수호가4,옵션매수잔량4,옵션매수호가5,옵션매수잔량5,옵션총매도잔량,옵션총매수잔량,지수코드,지수체결시간,지수현재가,지수전일대비,지수등락률,지수거래량,지수시가
2026-03-17 14:15:19,스냅샷,B0164850,,,,40.71,52.8756,0.3958,0.8671,0.8629,0.2687,,1015,,,,,,,,,,,,,,,,,,,,,,,201,141520,851.94,25.11,3.04,1,853.40
2026-03-17 14:15:20,스냅샷,B0164850,,,,40.71,52.8756,0.3958,0.8671,0.8629,0.2687,,1015,39.30,5,39.55,5,39.75,7,40.10,2,40.20,6,39.05,1,39.00,1,38.55,2,38.40,3,37.35,1,37,35,201,141521,851.94,25.11,3.04,2,853.40
2026-03-17 14:15:21,스냅샷,B0164850,,,,40.71,52.8756,0.3958,0.8671,0.8629,0.2687,,1015,39.30,5,39.55,5,39.75,7,40.10,2,40.20,6,39.10,1,39.05,1,38.55,2,38.40,3,37.35,1,37,35,201,141522,851.94,25.11,3.04,2,853.40
2026-03-17 14:15:22,스냅샷,B0164850,,,,40.72,52.8875,0.3958,0.8671,0.8629,0.2688,,1015,39.30,5,39.55,5,39.75,7,40.10,2,40.20,6,39.10,1,39.05,1,38.55,2,38.40,3,37.35,1,37,35,201,141523,851.97,25.14,3.04,2,853.40
2026-03-17 14:15:23,스냅샷,B0164850,,,,40.74,52.9033,0.3958,0.8671,0.8629,0.2689,,1015,39.30,5,39.55,5,39.75,7,40.10,2,40.20,6,38.55,2,38.40,3,37.35,1,36.50,2,36.20,1,37,33,201,141524,852.01,25.18,3.05,4,853.40
2026-03-17 14:15:24,스냅샷,B0164850,,,,40.89,53.0101,0.3956,0.8672,0.8631,0.2695,,1015,39.30,5,39.55,5,39.75,7,40.10,2,40.20,6,39.00,1,38.95,1,38.60,3,38.40,2,37.35,1,37,35,201,141525,852.28,25.45,3.08,30,853.40
2026-03-17 14:15:25,스냅샷,B0164850,,,,40.88,53.0022,0.3956,0.8672,0.8631,0.2694,,1015,39.30,5,39.55,5,39.75,7,40.10,2,40.20,6,39.05,1,39.00,1,38.60,3,38.40,2,37.35,1,37,35,201,141526,852.26,25.43,3.08,8,853.40
2026-03-17 14:15:26,스냅샷,B0164850,,,,40.95,53.0576,0.3955,0.8673,0.8632,0.2697,,1015,39.30,5,39.55,5,39.75,7,40.10,2,40.20,6,39.05,1,39.00,1,38.60,3,38.40,2,37.35,1,37,35,201,141527,852.40,25.57,3.09,6,853.40
2026-03-17 14:15:27,스냅샷,B0164850,,,,40.85,52.9824,0.3956,0.8672,0.8630,0.2693,,1015,39.30,5,39.55,5,39.75,7,40.10,2,40.20,6,39.05,1,39.00,1,38.60,3,38.40,2,37.35,1,37,35,201,141528,852.21,25.38,3.07,4,853.40
2026-03-17 14:15:28,스냅샷,B0164850,,,,40.93,53.0418,0.3955,0.8673,0.8631,0.2696,,1015,39.30,5,39.55,5,39.75,7,40.10,2,40.20,6,39.10,1,39.05,1,38.60,3,38.40,2,37.35,1,37,35,201,141529,852.36,25.53,3.09,3,853.40
