step,timestamp,index_price,option_mid,option_delta,market_bid,market_ask,market_spread,cash,inventory,net_delta,reservation_price,lp_bid,lp_ask,lp_spread,pnl,time_remaining_ratio,total_trades,total_bought,total_sold
0,0.0,1131.91,45.475,0.3983,45.35,45.6,0.25,0.0,0,0.0,45.475,44.62961478862429,46.320385211375715,1.6907704227514273,0.0,1.0,0,0,0
1,1.0,1131.91,45.475,0.3983,45.35,45.6,0.25,0.0,0,0.0,45.475,44.629841545993905,46.3201584540061,1.6903169080121927,0.0,0.9988662131519275,0,0,0
2,2.0,1131.91,45.525,0.3984,45.4,45.65,0.25,0.0,0,0.0,45.525,44.68006830336351,46.369931696636485,1.6898633932729723,0.0,0.9977324263038548,0,0,0
3,3.0,1131.91,45.5,0.3984,45.35,45.65,0.29999999999999716,0.0,0,0.0,45.5,44.65529506073313,46.34470493926687,1.6894098785337377,0.0,0.9965986394557823,0,0,0
4,4.0,1131.91,45.525,0.3985,45.4,45.65,0.25,0.0,0,0.0,45.525,44.68052181810275,46.36947818189725,1.688956363794503,0.0,0.9954648526077098,0,0,0
5,5.0,1131.91,45.525,0.3983,45.4,45.65,0.25,0.0,0,0.0,45.525,44.68074857547236,46.36925142452764,1.6885028490552827,0.0,0.9943310657596371,0,0,0
6,6.0,1131.91,45.525,0.3982,45.4,45.65,0.25,0.0,0,0.0,45.525,44.680975332841975,46.36902466715802,1.688049334316048,0.0,0.9931972789115646,0,0,0
7,7.0,1131.91,45.525,0.3986,45.4,45.65,0.25,0.0,0,0.0,45.525,44.68120209021159,46.368797909788405,1.6875958195768135,0.0,0.9920634920634921,0,0,0
8,8.0,1131.91,45.5,0.3983,45.35,45.65,0.29999999999999716,0.0,0,0.0,45.5,44.6564288475812,46.3435711524188,1.687142304837593,0.0,0.9909297052154195,0,0,0
9,9.0,1131.91,45.45,0.3983,45.3,45.6,0.30000000000000426,0.0,0,0.0,45.45,44.606655604950824,46.29334439504918,1.6866887900983585,0.0,0.9897959183673469,0,0,0
10,10.0,1131.94,45.425,0.3986,45.3,45.55,0.25,0.0,0,0.0,45.425,44.58188236232043,46.268117637679566,1.686235275359138,0.0,0.9886621315192744,0,0,0
